           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,Base Flow Index (BFI): 0.169
12,1,0.53,0.47,,
13,1,0.53,0.47,,
14,1,0.54,0.46,,
15,1,0.54,0.46,,
16,1,0.55,0.45,,
17,1.1,0.65,0.45,,
18,1.1,0.66,0.44,,
19,1.2,0.76,0.44,,
20,0.9,0.47,0.43,,
21,0.8,0.37,0.43,,
22,0.9,0.48,0.42,,
23,1,0.58,0.42,,
24,0.8,0.39,0.41,,
25,0.8,0.39,0.41,,
26,0.8,0.4,0.4,,
27,0.8,0.41,0.39,,
28,0.8,0.41,0.39,,
29,0.8,0.42,0.38,,
30,0.9,0.52,0.38,,
31,0.9,0.52,0.38,,
1,0.9,0.53,0.37,,
2,0.9,0.53,0.37,,
3,0.9,0.54,0.36,,
4,0.9,0.54,0.36,,
5,0.9,0.54,0.36,,
6,0.9,0.55,0.35,,
7,0.9,0.55,0.35,,
8,0.9,0.55,0.35,,
9,0.9,0.56,0.34,,
10,1,0.66,0.34,,
11,0.9,0.56,0.34,,
12,0.6,0.27,0.33,,
13,0.5,0.17,0.33,,
14,0.5,0.18,0.32,,
15,0.8,0.48,0.32,,
16,0.3,0,0.3,,
17,0.4,0.11,0.29,,
18,0.4,0.11,0.29,,
19,0.4,0.12,0.28,,
20,0.4,0.12,0.28,,
21,0.4,0.13,0.27,,
22,0.4,0.13,0.27,,
23,0.4,0.13,0.27,,
24,0.4,0.14,0.26,,
25,0.3,0.04,0.26,,
26,0.3,0.05,0.25,,
27,0.4,0.15,0.25,,
28,0.3,0.06,0.24,,
29,0.3,0.06,0.24,,
30,0.3,0.07,0.23,,
1,0.3,0.07,0.23,,
2,0.3,0.07,0.23,,
3,0.3,0.08,0.22,,
4,0.3,0.08,0.22,,
5,0.3,0.09,0.21,,
6,0.3,0.09,0.21,,
7,0.3,0.09,0.21,,
8,0.3,0.1,0.2,,
9,0.3,0.1,0.2,,
10,0.3,0.1,0.2,,
11,0.3,0.11,0.19,,
12,0.3,0.11,0.19,,
13,0.3,0.11,0.19,,
14,0.3,0.12,0.18,,
15,0.3,0.12,0.18,,
16,0.3,0.12,0.18,,
17,0.3,0.12,0.18,,
18,0.3,0.13,0.17,,
19,0.2,0.03,0.17,,
20,0.2,0.03,0.17,,
21,0.2,0.04,0.16,,
22,0.2,0.04,0.16,,
23,0.2,0.04,0.16,,
24,0.2,0.05,0.15,,
25,0.2,0.05,0.15,,
26,0.2,0.05,0.15,,
27,0.2,0.05,0.15,,
28,0.2,0.06,0.14,,
29,0.2,0.06,0.14,,
30,0.1,0,0.1,,
31,0.1,0,0.1,,
1,2.5,2.39,0.11,,
2,1.5,1.38,0.12,,
3,1.1,0.98,0.12,,
4,7.3,7.13,0.17,,
5,5.9,5.7,0.2,,
6,3.9,3.68,0.22,,
7,5.2,4.95,0.25,,
8,200,198.43,1.57,,
9,11.2,9.6,1.6,,
10,11.4,9.76,1.64,,
11,7.4,5.76,1.64,,
12,12.4,10.72,1.68,,
13,13.1,11.38,1.72,,
14,227.5,224.32,3.18,,
15,208,203.52,4.48,,
16,170.6,165.11,5.49,,
17,37.1,31.51,5.59,,
18,279,271.71,7.29,,
19,71.8,64.23,7.57,,
20,33,25.41,7.59,,
21,156.9,148.47,8.43,,
22,600,587.82,12.18,,
23,161.5,148.58,12.92,,
24,37.4,24.57,12.83,,
25,176.9,163.24,13.66,,
26,38.5,24.95,13.55,,
27,38.3,24.85,13.45,,
28,19.4,6.18,13.22,,
29,24,10.97,13.03,,
30,20.2,7.38,12.82,,
1,18.1,5.5,12.6,,
2,135.7,122.54,13.16,,
3,161.3,147.42,13.88,,
4,39.9,26.12,13.78,,
5,40.7,27.02,13.68,,
6,28,14.49,13.51,,
7,134,119.96,14.04,,
8,127.1,112.59,14.51,,
9,40.4,26.01,14.39,,
10,21.1,6.95,14.15,,
11,20.3,6.39,13.91,,
12,30,16.26,13.74,,
13,26,12.45,13.55,,
14,27,13.63,13.37,,
15,26.9,13.71,13.19,,
16,14.1,1.17,12.93,,
17,13.8,1.12,12.68,,
18,23.1,10.6,12.5,,
19,20.7,8.39,12.31,,
20,20,7.89,12.11,,
21,13.3,1.42,11.88,,
22,13.2,1.55,11.65,,
23,13,1.57,11.43,,
24,12.8,1.59,11.21,,
25,12.9,1.9,11,,
26,12.9,2.11,10.79,,
27,17,6.38,10.62,,
28,8.6,0,8.6,,
29,9.1,0.67,8.43,,
30,9.3,1.03,8.27,,
31,25,16.78,8.22,,
1,24.3,16.14,8.16,,
2,24.9,16.79,8.11,,
3,30,21.91,8.09,,
4,27.6,19.54,8.06,,
5,23.2,15.2,8,,
6,24.4,16.45,7.95,,
7,24.1,16.2,7.9,,
8,34.2,26.28,7.92,,
9,44.7,36.7,8,,
10,33,24.99,8.01,,
11,27.5,19.52,7.98,,
12,25.4,17.46,7.94,,
13,29,21.08,7.92,,
14,23.9,16.03,7.87,,
15,27,19.16,7.84,,
16,205.6,196.61,8.99,,
17,46,36.94,9.06,,
18,210.8,200.59,10.21,,
19,215.7,204.33,11.37,,
20,222.9,210.35,12.55,,
21,166.8,153.48,13.32,,
22,36,22.8,13.2,,
23,302.2,287.34,14.86,,
24,150.9,135.44,15.46,,
25,58,42.56,15.44,,
26,52,36.63,15.37,,
27,48,32.72,15.28,,
28,46,30.82,15.18,,
29,43.5,28.43,15.07,,
30,35.8,20.89,14.91,,
31,68,53.04,14.96,,
1,36,21.2,14.8,,
2,33.8,19.16,14.64,,
3,24.5,10.09,14.41,,
4,165.3,150.18,15.12,,
5,36.7,21.73,14.97,,
6,42.9,28.05,14.85,,
7,44,29.25,14.75,,
8,39.6,24.98,14.62,,
9,38.5,24.01,14.49,,
10,37.8,23.44,14.36,,
11,34,19.8,14.2,,
12,28,13.99,14.01,,
13,29.1,15.27,13.83,,
14,30,16.34,13.66,,
15,26.4,12.92,13.48,,
16,25.7,12.41,13.29,,
17,25.6,12.49,13.11,,
18,26.4,13.46,12.94,,
19,21.5,8.76,12.74,,
20,20.5,7.97,12.53,,
21,22,9.65,12.35,,
22,20.1,7.95,12.15,,
23,15.7,3.76,11.94,,
24,15.7,3.98,11.72,,
25,15.4,3.89,11.51,,
26,14.5,3.19,11.31,,
27,14,2.9,11.1,,
28,20,9.06,10.94,,
29,12.9,2.17,10.73,,
30,18,7.43,10.57,,
1,9.3,0,9.3,,
2,18,8.83,9.17,,
3,9.2,0.21,8.99,,
4,9.1,0.29,8.81,,
5,12,3.34,8.66,,
6,8.5,0.01,8.49,,
7,8.9,0.58,8.32,,
8,8.5,0.34,8.16,,
9,7.5,0,7.5,,
10,7.8,0.45,7.35,,
11,5.8,0,5.8,,
12,10,4.29,5.71,,
13,5.6,0,5.6,,
14,5.4,0,5.4,,
15,5.4,0.11,5.29,,
16,5.2,0.01,5.19,,
17,6,0.91,5.09,,
18,6,1.01,4.99,,
19,5,0.1,4.9,,
20,5,0.2,4.8,,
21,4,0,4,,
22,4,0.08,3.92,,
23,4,0.16,3.84,,
24,3.9,0.13,3.77,,
25,4,0.31,3.69,,
26,4,0.38,3.62,,
27,2.6,0,2.6,,
28,2.6,0.05,2.55,,
29,2.6,0.1,2.5,,
30,2.8,0.35,2.45,,
31,2.8,0.4,2.4,,
